mark,epirr_id,data_file_path
H3K27ac,IHECRE00000099.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000099.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000101.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000101.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000102.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000102.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000105.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000105.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000108.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000108.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000109.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000109.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000112.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000112.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000113.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000113.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000114.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000114.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000117.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000117.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000118.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000118.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000121.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000121.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000123.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000123.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000124.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000124.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000125.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000125.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000126.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000126.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000128.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000128.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000129.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000129.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000132.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000132.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000133.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000133.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000135.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000135.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000140.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000140.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000141.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000141.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000142.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000142.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000147.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000147.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000151.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000151.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000152.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000152.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000153.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000153.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000155.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000155.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000158.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000158.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000159.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000159.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000160.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000160.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000161.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000161.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000162.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000162.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000171.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000171.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000174.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000174.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000175.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000175.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000176.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000176.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000177.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000177.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000178.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000178.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000180.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000180.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000181.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000181.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000184.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000184.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000185.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000185.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000187.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000187.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000188.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000188.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000190.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000190.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000191.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000191.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000193.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000193.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000194.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000194.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000195.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000195.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000221.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000221.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000222.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000222.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000223.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000223.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000224.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000224.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000225.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000225.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000226.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000226.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000227.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000227.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000228.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000228.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000229.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000229.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000230.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000230.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000231.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000231.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000232.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000232.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000233.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000233.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000234.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000234.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000235.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000235.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000236.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000236.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000237.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000237.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000238.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000238.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000239.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000239.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000240.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000240.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000241.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000241.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000242.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000242.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000243.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000243.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000244.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000244.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000246.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000246.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000247.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000247.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000248.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000248.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000249.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000249.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000250.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000250.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000251.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000251.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000252.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000252.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000256.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000256.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000257.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000257.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000258.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000258.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000260.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000260.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000261.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000261.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000262.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000262.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000263.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000263.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000264.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000264.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000265.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000265.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000267.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000267.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000269.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000269.2_H3K27ac.pval.bw
