EpiRR
IHECRE00000673.1
IHECRE00000735.1
IHECRE00000755.1
IHECRE00000812.1
IHECRE00000892.1
IHECRE00001772.6
IHECRE00001773.6
IHECRE00001774.6
IHECRE00001775.6
IHECRE00001776.6
IHECRE00001777.7
IHECRE00001778.7
IHECRE00001779.7
IHECRE00001780.7
IHECRE00001781.6
IHECRE00001782.6
IHECRE00001783.6
IHECRE00001784.6
IHECRE00001785.7
IHECRE00001786.6
IHECRE00001787.6
IHECRE00001788.6
IHECRE00001789.6
IHECRE00001790.7
IHECRE00001791.6
IHECRE00001792.6
IHECRE00001793.7
IHECRE00001794.6
IHECRE00001795.7
IHECRE00001796.6
IHECRE00001797.6
IHECRE00001798.6
IHECRE00001799.6
IHECRE00001800.7
IHECRE00001801.6
IHECRE00001802.6
IHECRE00001803.6
IHECRE00001804.7
IHECRE00001805.7
IHECRE00001806.6
IHECRE00001807.6
IHECRE00001808.7
IHECRE00001809.6
IHECRE00001810.6
IHECRE00001811.6
IHECRE00001812.6
IHECRE00001813.6
IHECRE00001814.6
IHECRE00001815.6
IHECRE00001816.6
IHECRE00001817.6
IHECRE00001818.6
IHECRE00001819.6
IHECRE00001820.6
IHECRE00001821.6
IHECRE00001822.6
IHECRE00001823.6
IHECRE00001824.6
IHECRE00001825.6
IHECRE00001826.7
IHECRE00001827.6
IHECRE00001828.7
IHECRE00001829.6
IHECRE00001830.7
IHECRE00001831.6
IHECRE00001832.6
IHECRE00001833.6
IHECRE00001834.7
IHECRE00001835.6
IHECRE00001836.6
IHECRE00001837.6
IHECRE00001838.6
IHECRE00001839.6
IHECRE00001840.6
IHECRE00001841.6
IHECRE00001842.7
IHECRE00001843.6
IHECRE00001844.6
IHECRE00001845.7
IHECRE00001846.6
IHECRE00001847.6
IHECRE00001848.7
IHECRE00001849.6
IHECRE00001850.6
IHECRE00003419.2
IHECRE00003420.2
IHECRE00003421.2
IHECRE00003422.2
IHECRE00003423.2
IHECRE00003424.2
IHECRE00003425.2
IHECRE00003426.2
IHECRE00003427.2
IHECRE00003428.2
IHECRE00003429.2
IHECRE00003430.2
IHECRE00003697.6
IHECRE00003698.6
IHECRE00003701.6
IHECRE00003703.6
IHECRE00003708.6
IHECRE00003712.6
IHECRE00004493.1
IHECRE00004494.1
IHECRE00004495.1
IHECRE00004496.1
IHECRE00004497.1
IHECRE00004498.1
IHECRE00004499.1
IHECRE00004500.1
IHECRE00004501.1
IHECRE00004502.1
IHECRE00004503.1
IHECRE00004504.1
IHECRE00004505.1
IHECRE00004506.1
IHECRE00004507.1
IHECRE00004508.1
IHECRE00004509.1
IHECRE00004510.1
IHECRE00004511.1
IHECRE00004512.1
IHECRE00004513.1
IHECRE00004514.1
IHECRE00004515.1
IHECRE00004516.1
IHECRE00004517.1
IHECRE00004518.1
IHECRE00004519.1
IHECRE00004520.1
IHECRE00004521.1
IHECRE00004522.1
IHECRE00004523.1
IHECRE00004524.1
IHECRE00004525.1
IHECRE00004526.1
IHECRE00004527.1
IHECRE00004528.1
IHECRE00004529.1
IHECRE00004530.1
IHECRE00004531.1
IHECRE00004532.1
IHECRE00004533.1
IHECRE00004534.1
IHECRE00004535.1
IHECRE00004536.1
IHECRE00004537.1
IHECRE00004538.1
IHECRE00004539.1
IHECRE00004540.1
IHECRE00004541.1
IHECRE00004542.1
IHECRE00004543.1
IHECRE00004544.1
IHECRE00004545.1
IHECRE00004546.1
IHECRE00004547.1
IHECRE00004548.1
IHECRE00004549.1
IHECRE00004550.1
IHECRE00004551.1
IHECRE00004552.1
IHECRE00004553.1
IHECRE00004554.1
IHECRE00004555.1
IHECRE00004556.1
IHECRE00004557.1
IHECRE00004558.1
IHECRE00004559.1
IHECRE00004560.1
IHECRE00004561.1
IHECRE00004562.1
IHECRE00004563.1
IHECRE00004564.1
IHECRE00004565.1
IHECRE00004566.1
IHECRE00004567.1
IHECRE00004568.1
IHECRE00004569.1
IHECRE00004570.1
IHECRE00004571.1
IHECRE00004572.1
IHECRE00004573.1
IHECRE00004574.1
IHECRE00004575.1
IHECRE00004576.1
IHECRE00004577.1
IHECRE00004578.1
IHECRE00004579.1
IHECRE00004580.1
IHECRE00004581.1
IHECRE00004582.1
IHECRE00004583.1
IHECRE00004584.1
IHECRE00004585.1
IHECRE00004586.1
IHECRE00004587.1
IHECRE00004588.1
IHECRE00004589.1
IHECRE00004625.5
IHECRE00004630.5
IHECRE00004642.5
IHECRE00004652.5
IHECRE00004692.5
IHECRE00004697.6
IHECRE00004706.5
IHECRE00004913.1
IHECRE00004914.1
IHECRE00004915.1
IHECRE00004916.1
IHECRE00004917.1
IHECRE00004918.1
IHECRE00004919.1
IHECRE00004920.1
IHECRE00004921.1
IHECRE00004922.1
IHECRE00004923.1
IHECRE00004924.1
IHECRE00004925.1
IHECRE00004926.1
IHECRE00004927.1
IHECRE00004928.1
IHECRE00004929.1
IHECRE00004930.1
